Model,MAE,RMSE,MAPE
XGBoost,4959.71570435533,17492.89877924348,453.50160333947997
Random Forest,790.5669716088329,1725.2766737659815,20.376636858083522
LightGBM,4771.834626614945,7779.418323726796,302.72023780472523
Prophet,1375.2557688889783,3669.352218558139,36.171546789498976
